config,description,n_genes,n_gold_positive,n_positive_found,positive_coverage,n_gold_negative,n_negative_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink,Jaccard_vs_A0@10_ties,delta_NDCG@5_vs_A0,delta_NDCG@5_ci_low,delta_NDCG@5_ci_high,delta_MRR_vs_A0,delta_MRR_ci_low,delta_MRR_ci_high
B0_rna_mean,Mean standardized DepMap/HPA/GEO RNA only,6,13,13,1.0,5,5,0.2222222222222222,0.3055555555555555,0.26710925122476575,0.20000000000000004,0.47222222222222215,0.3506535571150802,0.16666666666666666,0.8333333333333334,0.48499987826657137,0.41111111111111115,0.5231481481481481,0.8030303030303029,-0.09989190465082161,-0.22069070536176535,-0.007084245635023041,-0.09907407407407408,-0.2638888888888889,-0.00185185185185185
A0_team_baseline,"Team formula: RNA .55, protein .30, confidence .15",6,13,13,1.0,5,5,0.27777777777777773,0.38888888888888884,0.3470709864647025,0.26666666666666666,0.5833333333333334,0.4505454617659019,0.16666666666666666,0.8333333333333334,0.5329548616461105,0.5101851851851852,0.47023809523809523,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A1a_no_direct_protein,Remove direct protein term; retain protein-derived confidence,6,13,13,1.0,5,5,0.3333333333333333,0.4444444444444444,0.43727314636372033,0.2333333333333333,0.5277777777777778,0.4768060984919364,0.16666666666666666,0.8333333333333334,0.5870755741998455,0.6074074074074075,0.46455026455026455,0.8069153069153069,0.026260636726034525,-0.07450488801326102,0.1532867981913646,0.09722222222222221,0.0,0.2638888888888889
A1b_no_protein_evidence,Remove protein and all protein-derived confidence features,6,13,13,1.0,5,5,0.2222222222222222,0.3055555555555555,0.3048249821465852,0.26666666666666666,0.5833333333333334,0.45231081120988303,0.16666666666666666,0.8333333333333334,0.537126024610383,0.5125000000000001,0.47367724867724864,0.7816627816627816,0.0017653494439812123,-0.08659840752844561,0.09189445586038925,0.002314814814814816,-0.2476851851851852,0.25
A2_no_confidence,Remove composite confidence block,6,13,13,1.0,5,5,0.2222222222222222,0.3055555555555555,0.26710925122476575,0.16666666666666666,0.38888888888888884,0.30664220335298176,0.15,0.7777777777777778,0.44898121710128963,0.41111111111111115,0.5294973544973545,0.735042735042735,-0.1439032584129201,-0.2749605930499784,-0.028866135842815204,-0.09907407407407408,-0.2638888888888889,-0.00185185185185185
A3_equal_bio,Equal RNA/protein biological weights,6,13,13,1.0,5,5,0.16666666666666666,0.2222222222222222,0.2448797876704594,0.2333333333333333,0.5277777777777778,0.4026924127457645,0.16666666666666666,0.8333333333333334,0.5097753052064621,0.5018518518518519,0.4734126984126984,0.9393939393939394,-0.04785304902013735,-0.11522216452031987,-0.007084245635023041,-0.008333333333333331,-0.024999999999999994,0.0
A3b_reversed_bio,Protein biological weight greater than RNA,6,13,13,1.0,5,5,0.16666666666666666,0.2222222222222222,0.23149991919515733,0.2333333333333333,0.5277777777777778,0.3893125442704624,0.15,0.7777777777777778,0.4717219441506712,0.4740740740740741,0.47671957671957677,0.9090909090909092,-0.06123291749543943,-0.12860203299562198,-0.007084245635023041,-0.036111111111111115,-0.09166666666666667,0.0
A4_adaptive_trust,Team formula plus gene-adaptive RNA trust,6,13,13,1.0,5,5,0.27777777777777773,0.38888888888888884,0.3470709864647025,0.26666666666666666,0.5833333333333334,0.4505454617659019,0.16666666666666666,0.8333333333333334,0.5329548616461105,0.5101851851851852,0.47023809523809523,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A5_v3_structure,Flat v3 four-term structure without adaptive trust,6,13,13,1.0,5,5,0.2222222222222222,0.3055555555555555,0.2825955185922789,0.20000000000000004,0.47222222222222215,0.36613982448259336,0.16666666666666666,0.8333333333333334,0.4979596007761251,0.46666666666666673,0.4541005291005291,0.9090909090909092,-0.08440563728330848,-0.21228868362927525,0.0,-0.04351851851851852,-0.09907407407407408,-0.00185185185185185
A6_v3_full,Flat v3 four-term structure plus adaptive trust,6,13,13,1.0,5,5,0.2222222222222222,0.3055555555555555,0.2825955185922789,0.20000000000000004,0.47222222222222215,0.36613982448259336,0.16666666666666666,0.8333333333333334,0.4979596007761251,0.46666666666666673,0.4541005291005291,0.9090909090909092,-0.08440563728330848,-0.21228868362927522,0.0,-0.04351851851851852,-0.09722222222222225,-0.00185185185185185
