config,gene,rna_protein_correlation,rna_trust,n_candidates,n_pos_gold,n_pos_found,n_neg_gold,n_neg_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink,Jaccard_vs_A0@10_ties
B0_rna_mean,ALB,,0.6,1513,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2890648263178879,0.1,0.11772486772486772,1.0
A0_team_baseline,ALB,,0.6,1513,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812,0.1111111111111111,0.08465608465608465,1.0
A1a_no_direct_protein,ALB,,0.6,1513,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812,0.1111111111111111,0.08465608465608465,1.0
A1b_no_protein_evidence,ALB,,0.6,1513,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.31546487678572877,0.125,0.07142857142857142,1.0
A2_no_confidence,ALB,,0.6,1513,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2890648263178879,0.1,0.11772486772486772,1.0
A3_equal_bio,ALB,,0.6,1513,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812,0.1111111111111111,0.08465608465608465,1.0
A3b_reversed_bio,ALB,,0.6,1513,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812,0.1111111111111111,0.08465608465608465,1.0
A4_adaptive_trust,ALB,,0.6,1513,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812,0.1111111111111111,0.08465608465608465,1.0
A5_v3_structure,ALB,,0.6,1513,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2890648263178879,0.1,0.11772486772486772,1.0
A6_v3_full,ALB,,0.6,1513,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2890648263178879,0.1,0.11772486772486772,1.0
B0_rna_mean,AR,0.8093101893031815,1.0,1513,2,2,1,1,0.6666666666666666,1.0,0.9197207891481876,0.4,1.0,0.9197207891481876,0.2,1.0,0.9197207891481876,1.0,0.4054232804232804,0.6666666666666666
A0_team_baseline,AR,0.8093101893031815,1.0,1513,2,2,1,1,0.6666666666666666,1.0,0.9197207891481876,0.4,1.0,0.9197207891481876,0.2,1.0,0.9197207891481876,1.0,0.4027777777777778,1.0
A1a_no_direct_protein,AR,0.8093101893031815,1.0,1513,2,2,1,1,0.6666666666666666,1.0,0.9197207891481876,0.4,1.0,0.9197207891481876,0.2,1.0,0.9197207891481876,1.0,0.4027777777777778,0.8181818181818182
A1b_no_protein_evidence,AR,0.8093101893031815,1.0,1513,2,2,1,1,0.6666666666666666,1.0,0.9197207891481876,0.4,1.0,0.9197207891481876,0.2,1.0,0.9197207891481876,1.0,0.35714285714285715,0.6666666666666666
