config,gene,rna_w,protein_w,confidence_w,protein_mode,n_candidates,n_pos_gold,n_pos_found,n_neg_gold,n_neg_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink
W_rna0.65_protein0.05_confidence0.30,MET,0.65,0.05,0.3,full,1513,5,5,1,1,0.3333333333333333,0.2,0.46927872602275644,0.4,0.4,0.4703652827859579,0.3,0.6,0.591176585485452,1.0,0.6865079365079365
W_rna0.80_protein0.10_confidence0.10,MET,0.8,0.1,0.1,full,1513,5,5,1,1,0.3333333333333333,0.2,0.46927872602275644,0.4,0.4,0.48522855511632257,0.4,0.8,0.7052750892414584,1.0,0.7857142857142857
W_rna0.75_protein0.10_confidence0.15,MET,0.75,0.1,0.15,full,1513,5,5,1,1,0.6666666666666666,0.4,0.5307212739772434,0.4,0.4,0.38356636737133565,0.4,0.8,0.5926568948615111,0.5,0.7738095238095238
W_rna0.70_protein0.10_confidence0.20,MET,0.7,0.1,0.2,full,1513,5,5,1,1,0.6666666666666666,0.4,0.5307212739772434,0.4,0.4,0.38356636737133565,0.4,0.8,0.5885987855699564,0.5,0.7506613756613757
W_rna0.65_protein0.10_confidence0.25,MET,0.65,0.1,0.25,full,1513,5,5,1,1,0.3333333333333333,0.2,0.2960819109658652,0.4,0.4,0.36005461457723403,0.3,0.6,0.4731080163351061,0.5,0.7228835978835979
W_rna0.60_protein0.10_confidence0.30,MET,0.6,0.1,0.3,full,1513,5,5,1,1,0.3333333333333333,0.2,0.2960819109658652,0.4,0.4,0.34519134224686937,0.3,0.6,0.4660026449463635,0.5,0.6865079365079365
W_rna0.75_protein0.15_confidence0.10,MET,0.75,0.15,0.1,full,1513,5,5,1,1,0.3333333333333333,0.2,0.46927872602275644,0.4,0.4,0.48522855511632257,0.4,0.8,0.7052750892414584,1.0,0.7857142857142857
W_rna0.70_protein0.15_confidence0.15,MET,0.7,0.15,0.15,full,1513,5,5,1,1,0.6666666666666666,0.4,0.5307212739772434,0.4,0.4,0.38356636737133565,0.4,0.8,0.5926568948615111,0.5,0.7744708994708994
W_rna0.65_protein0.15_confidence0.20,MET,0.65,0.15,0.2,full,1513,5,5,1,1,0.6666666666666666,0.4,0.5307212739772434,0.4,0.4,0.38356636737133565,0.4,0.8,0.5885987855699564,0.5,0.7526455026455027
W_rna0.60_protein0.15_confidence0.25,MET,0.6,0.15,0.25,full,1513,5,5,1,1,0.3333333333333333,0.2,0.2960819109658652,0.4,0.4,0.36005461457723403,0.3,0.6,0.46704774694449785,0.5,0.7235449735449735
W_rna0.55_protein0.15_confidence0.30,MET,0.55,0.15,0.3,full,1513,5,5,1,1,0.3333333333333333,0.2,0.2960819109658652,0.4,0.4,0.34519134224686937,0.3,0.6,0.4660026449463635,0.5,0.6878306878306878
W_rna0.70_protein0.20_confidence0.10,MET,0.7,0.2,0.1,full,1513,5,5,1,1,0.3333333333333333,0.2,0.46927872602275644,0.4,0.4,0.48522855511632257,0.4,0.8,0.7052750892414584,1.0,0.7863756613756614
W_rna0.65_protein0.20_confidence0.15,MET,0.65,0.2,0.15,full,1513,5,5,1,1,0.6666666666666666,0.4,0.5307212739772434,0.4,0.4,0.38356636737133565,0.4,0.8,0.5926568948615111,0.5,0.7744708994708994
W_rna0.60_protein0.20_confidence0.20,MET,0.6,0.2,0.2,full,1513,5,5,1,1,0.6666666666666666,0.4,0.5307212739772434,0.4,0.4,0.38356636737133565,0.4,0.8,0.5837030483256044,0.5,0.7526455026455027
W_rna0.55_protein0.20_confidence0.25,MET,0.55,0.2,0.25,full,1513,5,5,1,1,0.3333333333333333,0.2,0.2960819109658652,0.4,0.4,0.36005461457723403,0.3,0.6,0.46704774694449785,0.5,0.7261904761904762
W_rna0.50_protein0.20_confidence0.30,MET,0.5,0.2,0.3,full,1513,5,5,1,1,0.3333333333333333,0.2,0.2960819109658652,0.4,0.4,0.34519134224686937,0.3,0.6,0.4660026449463635,0.5,0.6891534391534392
W_rna0.65_protein0.25_confidence0.10,MET,0.65,0.25,0.1,full,1513,5,5,1,1,0.3333333333333333,0.2,0.46927872602275644,0.4,0.4,0.48522855511632257,0.4,0.8,0.7052750892414584,1.0,0.7883597883597884
W_rna0.60_protein0.25_confidence0.15,MET,0.6,0.25,0.15,full,1513,5,5,1,1,0.6666666666666666,0.4,0.5307212739772434,0.4,0.4,0.38356636737133565,0.4,0.8,0.5926568948615111,0.5,0.7751322751322751
W_rna0.55_protein0.25_confidence0.20,MET,0.55,0.25,0.2,full,1513,5,5,1,1,0.6666666666666666,0.4,0.5307212739772434,0.4,0.4,0.38356636737133565,0.4,0.8,0.5837030483256044,0.5,0.7546296296296297
W_rna0.50_protein0.25_confidence0.25,MET,0.5,0.25,0.25,full,1513,5,5,1,1,0.3333333333333333,0.2,0.2960819109658652,0.4,0.4,0.36005461457723403,0.3,0.6,0.46704774694449785,0.5,0.7268518518518519
W_rna0.60_protein0.30_confidence0.10,MET,0.6,0.3,0.1,full,1513,5,5,1,1,0.3333333333333333,0.2,0.46927872602275644,0.4,0.4,0.48522855511632257,0.4,0.8,0.7052750892414584,1.0,0.7896825396825397
