config,gene,rna_w,protein_w,confidence_w,protein_mode,n_candidates,n_pos_gold,n_pos_found,n_neg_gold,n_neg_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink
W_rna0.90_protein0.00_confidence0.10,PTPRC,0.9,0.0,0.1,direct_off,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.4,0.2222222222222222,0.3156484524795145,0.5,0.5555555555555556,0.44738067292489153,0.3333333333333333,
W_rna0.85_protein0.00_confidence0.15,PTPRC,0.85,0.0,0.15,direct_off,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.4,0.2222222222222222,0.34519134224686937,0.5,0.5555555555555556,0.4650421913916867,0.5,
W_rna0.80_protein0.00_confidence0.20,PTPRC,0.8,0.0,0.2,direct_off,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.46927872602275644,0.2,0.1111111111111111,0.3391602052736161,0.5,0.5555555555555556,0.5420233558913291,1.0,
W_rna0.75_protein0.00_confidence0.25,PTPRC,0.75,0.0,0.25,direct_off,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.46927872602275644,0.4,0.2222222222222222,0.4703652827859579,0.5,0.5555555555555556,0.5559904114224435,1.0,
W_rna0.70_protein0.00_confidence0.30,PTPRC,0.7,0.0,0.3,direct_off,1513,9,9,0,0,0.6666666666666666,0.2222222222222222,0.7039180890341347,0.6,0.3333333333333333,0.639945385422766,0.5,0.5555555555555556,0.597977029460981,1.0,
W_rna0.85_protein0.05_confidence0.10,PTPRC,0.85,0.05,0.1,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.4,0.2222222222222222,0.30078518014914984,0.5,0.5555555555555556,0.4370800953315701,0.3333333333333333,
W_rna0.80_protein0.05_confidence0.15,PTPRC,0.8,0.05,0.15,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.4,0.2222222222222222,0.34519134224686937,0.5,0.5555555555555556,0.4616493368276927,0.5,
W_rna0.75_protein0.05_confidence0.20,PTPRC,0.75,0.05,0.2,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.46927872602275644,0.2,0.1111111111111111,0.3391602052736161,0.5,0.5555555555555556,0.5392109960885393,1.0,
W_rna0.70_protein0.05_confidence0.25,PTPRC,0.7,0.05,0.25,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.46927872602275644,0.4,0.2222222222222222,0.4703652827859579,0.5,0.5555555555555556,0.5517905102360229,1.0,
W_rna0.65_protein0.05_confidence0.30,PTPRC,0.65,0.05,0.3,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.46927872602275644,0.6,0.3333333333333333,0.6164336326286644,0.5,0.5555555555555556,0.5734941056355503,1.0,
W_rna0.80_protein0.10_confidence0.10,PTPRC,0.8,0.1,0.1,full,1513,9,9,0,0,0.0,0.0,0.0,0.4,0.2222222222222222,0.27727342735504823,0.5,0.5555555555555556,0.4207859288366277,0.25,
W_rna0.75_protein0.10_confidence0.15,PTPRC,0.75,0.1,0.15,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.4,0.2222222222222222,0.30078518014914984,0.4,0.4444444444444444,0.35755508251879725,0.3333333333333333,
W_rna0.70_protein0.10_confidence0.20,PTPRC,0.7,0.1,0.2,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.2,0.1111111111111111,0.21398626473452756,0.5,0.5555555555555556,0.44486992149378846,0.5,
W_rna0.65_protein0.10_confidence0.25,PTPRC,0.65,0.1,0.25,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.4,0.2222222222222222,0.34519134224686937,0.5,0.5555555555555556,0.4596657938639883,0.5,
W_rna0.60_protein0.10_confidence0.30,PTPRC,0.6,0.1,0.3,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.4,0.2222222222222222,0.36005461457723403,0.5,0.5555555555555556,0.47954267017142865,0.5,
W_rna0.75_protein0.15_confidence0.10,PTPRC,0.75,0.15,0.1,full,1513,9,9,0,0,0.0,0.0,0.0,0.4,0.2222222222222222,0.27727342735504823,0.5,0.5555555555555556,0.4179735690338378,0.25,
W_rna0.70_protein0.15_confidence0.15,PTPRC,0.7,0.15,0.15,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.4,0.2222222222222222,0.30078518014914984,0.4,0.4444444444444444,0.3533551813323767,0.3333333333333333,
W_rna0.65_protein0.15_confidence0.20,PTPRC,0.65,0.15,0.2,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.2,0.1111111111111111,0.21398626473452756,0.5,0.5555555555555556,0.44486992149378846,0.5,
W_rna0.60_protein0.15_confidence0.25,PTPRC,0.6,0.15,0.25,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.2,0.1111111111111111,0.21398626473452756,0.5,0.5555555555555556,0.4524626772442029,0.5,
W_rna0.55_protein0.15_confidence0.30,PTPRC,0.55,0.15,0.3,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.4,0.2222222222222222,0.34519134224686937,0.4,0.4444444444444444,0.40129869165981646,0.5,
W_rna0.70_protein0.20_confidence0.10,PTPRC,0.7,0.2,0.1,full,1513,9,9,0,0,0.0,0.0,0.0,0.4,0.2222222222222222,0.27727342735504823,0.4,0.4444444444444444,0.35003016811554705,0.25,
W_rna0.65_protein0.20_confidence0.15,PTPRC,0.65,0.2,0.15,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.4,0.2222222222222222,0.30078518014914984,0.5,0.5555555555555556,0.42129858225066746,0.3333333333333333,
W_rna0.60_protein0.20_confidence0.20,PTPRC,0.6,0.2,0.2,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.2,0.1111111111111111,0.21398626473452756,0.5,0.5555555555555556,0.449069822680209,0.5,
W_rna0.55_protein0.20_confidence0.25,PTPRC,0.55,0.2,0.25,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.4,0.2222222222222222,0.34519134224686937,0.5,0.5555555555555556,0.4596657938639883,0.5,
W_rna0.50_protein0.20_confidence0.30,PTPRC,0.5,0.2,0.3,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.4,0.2222222222222222,0.34519134224686937,0.4,0.4444444444444444,0.40129869165981646,0.5,
W_rna0.65_protein0.25_confidence0.10,PTPRC,0.65,0.25,0.1,full,1513,9,9,0,0,0.0,0.0,0.0,0.4,0.2222222222222222,0.27727342735504823,0.4,0.4444444444444444,0.3466373135515531,0.25,
W_rna0.60_protein0.25_confidence0.15,PTPRC,0.6,0.25,0.15,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.2,0.1111111111111111,0.16958010263680806,0.5,0.5555555555555556,0.414095465630882,0.3333333333333333,
W_rna0.55_protein0.25_confidence0.20,PTPRC,0.55,0.25,0.2,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.2,0.1111111111111111,0.21398626473452756,0.5,0.5555555555555556,0.449069822680209,0.5,
W_rna0.50_protein0.25_confidence0.25,PTPRC,0.5,0.25,0.25,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.4,0.2222222222222222,0.34519134224686937,0.5,0.5555555555555556,0.4650421913916867,0.5,
W_rna0.60_protein0.30_confidence0.10,PTPRC,0.6,0.3,0.1,full,1513,9,9,0,0,0.0,0.0,0.0,0.4,0.2222222222222222,0.27727342735504823,0.4,0.4444444444444444,0.3412609160238547,0.25,
W_rna0.55_protein0.30_confidence0.15,PTPRC,0.55,0.3,0.15,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.2,0.1111111111111111,0.16958010263680806,0.5,0.5555555555555556,0.40871906810318365,0.3333333333333333,
W_rna0.50_protein0.30_confidence0.20,PTPRC,0.5,0.3,0.2,full,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.2,0.1111111111111111,0.16958010263680806,0.5,0.5555555555555556,0.4182953668173026,0.3333333333333333,
