panel,panel_stratum,config,description,n_genes,genes_with_protein,mean_candidates,ranking_identical_rate_vs_A0,top10_identical_rate_vs_A0,mean_top10_jaccard_vs_A0,top1_change_rate_vs_A0,mean_rank_spearman_vs_A0,mean_abs_rank_change_vs_A0,mean_abs_score_change_vs_A0,confidence_constant_rate,mean_final_score_std,mean_confidence_std,mean_largest_tie_size,mean_tied_candidate_fraction
coverage_stratified,ALL,A0_team_baseline,"Team baseline: RNA .55, protein .30, confidence .15",100,50,1481.86,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.08983831758366714,0.08392133484266577,384.64,0.6733323144833591
coverage_stratified,ALL,A1a_no_direct_protein,Remove direct protein; retain protein-derived confidence,100,50,1481.83,0.5,0.63,0.8578085803085803,0.18000000000000005,0.9879052100953755,17.71976951559833,0.003037882463097599,0.25,0.08976108428588103,0.08392156701754006,384.67,0.6724976242883426
coverage_stratified,ALL,A1b_no_protein_evidence,Remove direct protein and all protein-derived confidence,100,50,1481.83,0.22,0.5,0.8296108597285068,0.16000000000000003,0.9760649956736294,39.85056286056984,0.04827396813913677,0.25,0.08939810282788688,0.08166163875699446,384.74,0.6751726028391856
coverage_stratified,ALL,A1c_no_protein_confidence,Retain direct protein; remove protein-derived confidence only,100,50,1481.86,0.22,0.55,0.8577455877455877,0.15000000000000002,0.9850577123632722,35.79149681608479,0.0455799181303122,0.25,0.0896289910830043,0.08174914448798937,384.36,0.6724941757477434
coverage_stratified,ALL,A2_no_confidence,Remove the full confidence block; renormalise RNA/protein,100,50,1481.86,0.23,0.5,0.821578921078921,0.14,0.9187546349964522,87.98696419408603,0.04827367164418285,0.25,0.10312156690919441,0.08392133484266577,385.18,0.6563660411361804
coverage_stratified,ALL,A2a_no_conf_completeness,Remove completeness from confidence; renormalise retained components,100,50,1481.86,0.22,0.66,0.9369696969696969,0.040000000000000036,0.9942686392802236,19.388464249954506,0.005778502591165944,0.25,0.0905064997130688,0.1013282755816187,384.47,0.6703745368313976
coverage_stratified,ALL,A2b_no_conf_source_support,Remove source support from confidence; renormalise retained components,100,50,1481.86,0.21,0.62,0.9072084875908406,0.06999999999999995,0.9337505815652578,67.91506944919936,0.008311659663333462,0.5,0.08913571561100156,0.06089809502759195,385.45,0.6722647547624249
coverage_stratified,ALL,A2c_no_conf_consistency,Remove RNA-protein consistency; renormalise retained components,100,50,1481.86,0.23,0.78,0.9562878787878788,0.030000000000000027,0.9976442822991882,10.793407046380905,0.0029735967874957732,0.25,0.09040823799684874,0.09818663211296229,384.69,0.6690107916295227
coverage_stratified,ALL,A3_equal_bio,Equal RNA/protein biological weights,100,50,1481.86,0.5,0.76,0.9359324009324009,0.06000000000000005,0.9982529604081566,6.856802525982164,0.0012657070680401421,0.25,0.09049710029521098,0.08392133484266573,384.61,0.6715102786650428
coverage_stratified,ALL,A3b_reversed_bio,Protein biological weight greater than RNA,100,50,1481.86,0.5,0.64,0.8788609723609724,0.10999999999999999,0.9940288023896556,12.907424539739274,0.0025315000115932605,0.25,0.09149151189465174,0.08392133484266569,384.63,0.6688608625071683
