query_id,target_gene,exclusion_gene,disease_context,profile,max_exclusion_penalty,DepMap_ID,cell_line,lineage,primary_disease,exclusion_evidence_observed,exclusion_expression_std_mean,exclusion_scaled_within_query,rna_score,protein_score,biological_score,confidence_score,exclusion_penalty,final_score,production_ordinal_rank,score_tie_rank_min,score_tie_rank_max,score_tie_rank_mid,final_score_tie_size,full_comparator_tie_size,p00_final_score,p00_score_tie_rank_mid,realised_score_drop_vs_P00,rank_change_vs_P00_positive_is_down,in_top10_with_ties,in_P00_top10_with_ties,score_clipped_to_zero
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000581,SNU16,gastric,Gastric Cancer,True,0.3190376392449971,0.45685033719802876,1.0,,1.0,0.5875,0.0,0.9381,1,1,1,1.0,1,1,0.9381,1.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000793,KATOIII,gastric,Gastric Cancer,True,1.078912486862736,0.6288964489999341,0.9858,,0.9858,0.5875,0.0,0.926,2,2,2,2.0,1,1,0.926,2.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000144,RERFGC1B,gastric,Gastric Cancer,True,1.0624062322741605,0.6251592060430449,0.7606,,0.7606,0.5875,0.0,0.7347,3,3,3,3.0,1,1,0.7347,3.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000633,FU97,gastric,Gastric Cancer,True,-0.8833576665655151,0.18461151015683175,0.5041,,0.5041,0.5875,0.0,0.5166,4,4,4,4.0,1,1,0.5166,4.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000247,OCUM1,gastric,Gastric Cancer,True,0.6585242683849536,0.5337147770928037,0.4807,,0.4807,0.5875,0.0,0.4967,5,5,5,5.0,1,1,0.4967,5.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000538,HUTU80,gastric,Gastric Cancer,True,-1.56247710535402,0.030849533090535185,0.4871,,0.4871,0.5,0.0,0.489,6,6,6,6.0,1,1,0.489,6.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000674,NUGC4,gastric,Gastric Cancer,True,1.8219928205211326,0.7971400519605925,0.4484,,0.4484,0.5875,0.0,0.4692,7,7,7,7.0,1,1,0.4692,7.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000761,NUGC2,gastric,Gastric Cancer,True,0.2741172852587982,0.4466797515176108,0.4494,,0.4494,0.5,0.0,0.457,8,8,8,8.0,1,1,0.457,8.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000110,NCCSTCK140,gastric,Gastric Cancer,True,0.3839281101377026,0.4715424318832064,0.447,,0.447,0.5,0.0,0.4549,9,9,9,9.0,1,1,0.4549,9.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000239,HUG1N,gastric,Gastric Cancer,True,0.6098812064903589,0.5227013191643811,0.4411,,0.4411,0.5,0.0,0.45,10,10,10,10.0,1,1,0.45,10.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P15_weak,0.15,ACH-000581,SNU16,gastric,Gastric Cancer,True,0.3190376392449971,0.45685033719802876,1.0,,1.0,0.5875,0.0685,0.8696,1,1,1,1.0,1,1,0.9381,1.0,0.0685,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P15_weak,0.15,ACH-000793,KATOIII,gastric,Gastric Cancer,True,1.078912486862736,0.6288964489999341,0.9858,,0.9858,0.5875,0.0943,0.8317,2,2,2,2.0,1,1,0.926,2.0,0.0943,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P15_weak,0.15,ACH-000144,RERFGC1B,gastric,Gastric Cancer,True,1.0624062322741605,0.6251592060430449,0.7606,,0.7606,0.5875,0.0938,0.6409,3,3,3,3.0,1,1,0.7347,3.0,0.0938,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P15_weak,0.15,ACH-000633,FU97,gastric,Gastric Cancer,True,-0.8833576665655151,0.18461151015683175,0.5041,,0.5041,0.5875,0.0277,0.4889,4,4,4,4.0,1,1,0.5166,4.0,0.0277,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P15_weak,0.15,ACH-000538,HUTU80,gastric,Gastric Cancer,True,-1.56247710535402,0.030849533090535185,0.4871,,0.4871,0.5,0.0046,0.4844,5,5,5,5.0,1,1,0.489,6.0,0.0046,-1.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P15_weak,0.15,ACH-001015,AZ521,gastric,Gastric Cancer,True,-1.3430976872986289,0.08052004923424347,0.4448,,0.4448,0.4125,0.0121,0.4278,6,6,6,6.0,1,1,0.4399,11.0,0.0121,-5.0,True,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P15_weak,0.15,ACH-000247,OCUM1,gastric,Gastric Cancer,True,0.6585242683849536,0.5337147770928037,0.4807,,0.4807,0.5875,0.0801,0.4166,7,7,7,7.0,1,1,0.4967,5.0,0.0801,2.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P15_weak,0.15,ACH-000761,NUGC2,gastric,Gastric Cancer,True,0.2741172852587982,0.4466797515176108,0.4494,,0.4494,0.5,0.067,0.39,8,8,8,8.0,1,1,0.457,8.0,0.067,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P15_weak,0.15,ACH-000110,NCCSTCK140,gastric,Gastric Cancer,True,0.3839281101377026,0.4715424318832064,0.447,,0.447,0.5,0.0707,0.3842,9,9,9,9.0,1,1,0.4549,9.0,0.0707,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P15_weak,0.15,ACH-000239,HUG1N,gastric,Gastric Cancer,True,0.6098812064903589,0.5227013191643811,0.4411,,0.4411,0.5,0.0784,0.3716,10,10,10,10.0,1,1,0.45,10.0,0.0784,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P30_team_baseline,0.3,ACH-000581,SNU16,gastric,Gastric Cancer,True,0.3190376392449971,0.45685033719802876,1.0,,1.0,0.5875,0.1371,0.8011,1,1,1,1.0,1,1,0.9381,1.0,0.137,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P30_team_baseline,0.3,ACH-000793,KATOIII,gastric,Gastric Cancer,True,1.078912486862736,0.6288964489999341,0.9858,,0.9858,0.5875,0.1887,0.7373,2,2,2,2.0,1,1,0.926,2.0,0.1887,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P30_team_baseline,0.3,ACH-000144,RERFGC1B,gastric,Gastric Cancer,True,1.0624062322741605,0.6251592060430449,0.7606,,0.7606,0.5875,0.1875,0.5471,3,3,3,3.0,1,1,0.7347,3.0,0.1876,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P30_team_baseline,0.3,ACH-000538,HUTU80,gastric,Gastric Cancer,True,-1.56247710535402,0.030849533090535185,0.4871,,0.4871,0.5,0.0093,0.4798,4,4,4,4.0,1,1,0.489,6.0,0.0092,-2.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P30_team_baseline,0.3,ACH-000633,FU97,gastric,Gastric Cancer,True,-0.8833576665655151,0.18461151015683175,0.5041,,0.5041,0.5875,0.0554,0.4612,5,5,5,5.0,1,1,0.5166,4.0,0.0554,1.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P30_team_baseline,0.3,ACH-001015,AZ521,gastric,Gastric Cancer,True,-1.3430976872986289,0.08052004923424347,0.4448,,0.4448,0.4125,0.0242,0.4158,6,6,6,6.0,1,1,0.4399,11.0,0.0241,-5.0,True,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P30_team_baseline,0.3,ACH-000247,OCUM1,gastric,Gastric Cancer,True,0.6585242683849536,0.5337147770928037,0.4807,,0.4807,0.5875,0.1601,0.3366,7,7,7,7.0,1,1,0.4967,5.0,0.1601,2.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P30_team_baseline,0.3,ACH-000761,NUGC2,gastric,Gastric Cancer,True,0.2741172852587982,0.4466797515176108,0.4494,,0.4494,0.5,0.134,0.323,8,8,8,8.0,1,1,0.457,8.0,0.134,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P30_team_baseline,0.3,ACH-000110,NCCSTCK140,gastric,Gastric Cancer,True,0.3839281101377026,0.4715424318832064,0.447,,0.447,0.5,0.1415,0.3135,9,9,9,9.0,1,1,0.4549,9.0,0.1414,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P30_team_baseline,0.3,ACH-000847,HGC27,gastric,Gastric Cancer,True,-0.5876300265078397,0.2515683133511802,0.3429,,0.3429,0.5875,0.0755,0.3041,10,10,10,10.0,1,1,0.3796,16.0,0.0755,-6.0,True,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P45_stress,0.45,ACH-000581,SNU16,gastric,Gastric Cancer,True,0.3190376392449971,0.45685033719802876,1.0,,1.0,0.5875,0.2056,0.7325,1,1,1,1.0,1,1,0.9381,1.0,0.2056,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P45_stress,0.45,ACH-000793,KATOIII,gastric,Gastric Cancer,True,1.078912486862736,0.6288964489999341,0.9858,,0.9858,0.5875,0.283,0.643,2,2,2,2.0,1,1,0.926,2.0,0.283,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P45_stress,0.45,ACH-000538,HUTU80,gastric,Gastric Cancer,True,-1.56247710535402,0.030849533090535185,0.4871,,0.4871,0.5,0.0139,0.4752,3,3,3,3.0,1,1,0.489,6.0,0.0138,-3.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P45_stress,0.45,ACH-000144,RERFGC1B,gastric,Gastric Cancer,True,1.0624062322741605,0.6251592060430449,0.7606,,0.7606,0.5875,0.2813,0.4533,4,4,4,4.0,1,1,0.7347,3.0,0.2814,1.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P45_stress,0.45,ACH-000633,FU97,gastric,Gastric Cancer,True,-0.8833576665655151,0.18461151015683175,0.5041,,0.5041,0.5875,0.0831,0.4335,5,5,5,5.0,1,1,0.5166,4.0,0.0831,1.0,True,True,False
