query_id,target_gene,exclusion_gene,disease_context,profile,max_exclusion_penalty,DepMap_ID,cell_line,lineage,primary_disease,exclusion_evidence_observed,exclusion_expression_std_mean,exclusion_scaled_within_query,rna_score,protein_score,biological_score,confidence_score,exclusion_penalty,final_score,production_ordinal_rank,score_tie_rank_min,score_tie_rank_max,score_tie_rank_mid,final_score_tie_size,full_comparator_tie_size,p00_final_score,p00_score_tie_rank_mid,realised_score_drop_vs_P00,rank_change_vs_P00_positive_is_down,in_top10_with_ties,in_P00_top10_with_ties,score_clipped_to_zero
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-001636,RAMOS,lymphocyte,Lymphoma,True,1.5092491565968897,0.3271271887199333,0.1342,,0.1342,0.5875,0.1472,0.055,141,141,141,141.0,1,1,0.2022,104.0,0.1472,37.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000315,KARPAS422,lymphocyte,Lymphoma,True,1.6016372532008292,0.3422972960247752,0.137,,0.137,0.5875,0.154,0.0506,142,142,142,142.0,1,1,0.2046,102.0,0.154,40.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000770,P31FUJ,blood,Leukemia,True,0.847843854214138,0.21852456805819398,0.0836,,0.0836,0.5,0.0983,0.0477,143,143,143,143.0,1,1,0.146,176.0,0.0983,-33.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-002273,ML2,blood,Leukemia,True,0.07022737987282085,0.09084009580045915,0.0152,,0.0152,0.5,0.0409,0.047,144,144,144,144.0,1,1,0.0879,238.0,0.0409,-94.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000112,SIGM5,blood,Leukemia,True,1.0637164000547912,0.2539707976586475,0.0851,,0.0851,0.5875,0.1143,0.0462,145,145,145,145.0,1,1,0.1604,154.0,0.1142,-9.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000183,L363,plasma_cell,Myeloma,True,0.682936350982204,0.19144678843766078,0.0459,,0.0459,0.5875,0.0862,0.041,146,146,146,146.0,1,1,0.1271,223.0,0.0861,-77.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000660,SUDHL5,lymphocyte,Lymphoma,True,2.600529324216299,0.5063151777679338,0.212,,0.212,0.5875,0.2278,0.0405,147,147,147,147.0,1,1,0.2683,67.0,0.2278,80.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000405,MEC1,blood,Leukemia,True,2.2867831854626695,0.4547981234467884,0.1813,,0.1813,0.5875,0.2047,0.0375,148,148,148,148.0,1,1,0.2422,80.0,0.2047,68.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000156,MHHCALL4,blood,Leukemia,True,0.9537759967596557,0.23591860504475953,0.078,,0.078,0.5,0.1062,0.0351,149,149,149,149.0,1,1,0.1413,187.0,0.1062,-38.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000498,KO52,blood,Leukemia,True,1.9341136843931153,0.3968898606831839,0.1595,,0.1595,0.5,0.1786,0.032,150,150,150,150.0,1,1,0.2106,99.0,0.1786,51.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000576,KMS27,plasma_cell,Myeloma,True,1.5241994163077313,0.3295820184261993,0.1231,,0.1231,0.5,0.1483,0.0313,151,151,151,151.0,1,1,0.1796,127.5,0.1483,23.5,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-002236,EB3,lymphocyte,Lymphoma,True,3.554825314189066,0.663010391768586,0.3131,,0.3131,0.4125,0.2984,0.0297,152,152,152,152.0,1,1,0.328,56.0,0.2983,96.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000218,PL21,blood,Leukemia,True,1.1636481266450776,0.27037956752465775,0.0707,,0.0707,0.5875,0.1217,0.0265,153,153,153,153.0,1,1,0.1482,172.0,0.1217,-19.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-001677,U2904,lymphocyte,Lymphoma,True,0.8995046451227285,0.22700725977221406,0.0774,,0.0774,0.4125,0.1022,0.0255,154,154,154,154.0,1,1,0.1277,221.5,0.1022,-67.5,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000944,NAMALWA,lymphocyte,Lymphoma,True,1.556369315540577,0.3348643095577108,0.0967,,0.0967,0.5875,0.1507,0.0196,155,155,155,155.0,1,1,0.1703,139.0,0.1507,16.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000113,OCIAML2,blood,Leukemia,True,1.295761927134439,0.2920726275999817,0.0724,,0.0724,0.5875,0.1314,0.0183,156,156,156,156.0,1,1,0.1497,169.5,0.1314,-13.5,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000321,MOLM6,blood,Leukemia,True,2.6152489976006694,0.5087321452447116,0.2002,,0.2002,0.5,0.2289,0.0162,157,157,157,157.0,1,1,0.2452,76.0,0.229,81.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000365,SUDHL4,lymphocyte,Lymphoma,True,3.9500594024724527,0.7279077513872566,0.2989,,0.2989,0.5875,0.3276,0.0146,158,158,158,158.0,1,1,0.3422,54.0,0.3276,104.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000056,DOHH2,lymphocyte,Lymphoma,True,2.1809830317732537,0.4374257590044543,0.1446,,0.1446,0.5875,0.1968,0.0142,159,159,159,159.0,1,1,0.211,98.0,0.1968,61.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000626,U266B1,plasma_cell,Myeloma,True,1.8406118816603179,0.3815368830508661,0.1125,,0.1125,0.5875,0.1717,0.0121,160,160,160,160.0,1,1,0.1838,120.0,0.1717,40.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000362,MOLM13,blood,Leukemia,True,1.1048477187871073,0.26072455211073653,0.0442,,0.0442,0.5875,0.1173,0.0083,161,161,161,161.0,1,1,0.1257,224.0,0.1174,-63.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-001121,MEC2,lymphocyte,Lymphoma,True,2.837458681917082,0.5452189317374132,0.2252,,0.2252,0.4125,0.2453,0.008,162,162,162,162.0,1,1,0.2533,74.0,0.2453,88.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000371,RL,lymphocyte,Lymphoma,True,4.081935219085241,0.7495617345568195,0.3006,,0.3006,0.5875,0.3373,0.0064,163,163,163,163.0,1,1,0.3437,53.0,0.3373,110.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-001735,SEMK2,blood,Leukemia,True,1.1210319349596658,0.2633819972255004,0.0733,,0.0733,0.4125,0.1185,0.0056,164,164,164,164.0,1,1,0.1242,225.5,0.1186,-61.5,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000053,KARPAS299,lymphocyte,Lymphoma,True,1.265396291463966,0.28708659619081023,0.0685,,0.0685,0.5,0.1292,0.004,165,165,165,165.0,1,1,0.1332,205.0,0.1292,-40.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000073,GRANTA519,lymphocyte,Lymphoma,True,1.7368422599783038,0.36449793156507604,0.0934,,0.0934,0.5875,0.164,0.0035,166,166,166,166.0,1,1,0.1675,144.0,0.164,22.0,False,False,False
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P45_stress,0.45,ACH-000245,BL41,lymphocyte,Lymphoma,True,1.7814413267005984,0.3718210895555846,0.1118,,0.1118,0.5,0.1673,0.0027,167,167,167,167.0,1,1,0.17,140.0,0.1673,27.0,False,False,False
